MINISTERUL AFACERILOR INTERNE,,,,,,,,TOTAL,,,,,,,
DIRECTIA REGIM PERMISE DE CONDUCERE SI INMATRICULARE A VEHICULELOR,,,,,,,,,,,,,,,
PARC AUTO LA 31.12.2020,,,,,,,,,,,,,,,
CATEGORIA,Numar,Vechime (ani),,,,,,Carburant,,,,Vechime (ani),,,
,,0--2,3--5,6--10,11--15,16--20,>20,Benzina,Motorina,Electric,Hibrid01(benzina+electric),0--4,5--8,9--12,peste 12
,,,,,,,,,,,Hibrid02(motorina+electric),,,,
,,,,,,,,,,,Hibrid03(GPL+electric),,,,
 total marca FUTONG,2,0,0,1,1,0,0,2,0,0,0,0,0,2,0
   model nespecificat,2,0,0,1,1,0,0,2,0,0,0,0,0,2,0
 total marca GARRELLI,7,0,0,1,1,2,3,7,0,0,0,0,1,0,6
   model CICLONE,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model VIP,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
   model nespecificat,5,0,0,0,0,2,3,5,0,0,0,0,0,0,5
 total marca GEELY,41,0,0,1,0,38,2,41,0,0,0,0,0,1,40
   model nespecificat,41,0,0,1,0,38,2,41,0,0,0,0,0,1,40
 total marca GENERIC,14,0,1,3,9,1,0,14,0,0,0,0,2,2,10
   model CRACKER,3,0,0,0,2,1,0,3,0,0,0,0,0,0,3
   model N/A,6,0,0,0,6,0,0,6,0,0,0,0,0,0,6
   model ONYX 50,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
   model PARADISE,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
   model RACE GT50,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
   model TRIGGER X,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model nespecificat,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
 total marca GENERIC MOTOR,4,0,0,0,4,0,0,4,0,0,0,0,0,0,4
   model nespecificat,4,0,0,0,4,0,0,4,0,0,0,0,0,0,4
 total marca GIANTCO,4,0,0,0,4,0,0,4,0,0,0,0,0,1,3
   model SPRINT SE,4,0,0,0,4,0,0,4,0,0,0,0,0,1,3
 total marca GILERA,162,0,0,3,13,124,22,162,0,0,0,0,1,5,156
   model DNA,5,0,0,0,0,5,0,5,0,0,0,0,0,0,5
   model DNA50,8,0,0,0,2,6,0,8,0,0,0,0,0,0,8
   model NRG DD,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model RCR 50,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
   model RUNER SP 50,7,0,0,0,7,0,0,7,0,0,0,0,0,3,4
   model RUNNER,14,0,0,0,1,7,6,14,0,0,0,0,0,0,14
   model STALKER,4,0,0,0,0,0,4,4,0,0,0,0,0,0,4
   model STORM,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2
   model TYPHOON,7,0,0,0,0,1,6,7,0,0,0,0,0,0,7
   model nespecificat,113,0,0,2,3,105,3,113,0,0,0,0,1,1,111
 total marca GUOBEN,7,0,1,2,4,0,0,7,0,0,0,1,0,2,4
   model GB50QT-21,4,0,1,0,3,0,0,4,0,0,0,1,0,0,3
   model GB50QT-35,2,0,0,2,0,0,0,2,0,0,0,0,0,2,0
