MINISTERUL AFACERILOR INTERNE,,,,,,,,TOTAL,,,,,
DIRECTIA REGIM PERMISE DE CONDUCERE SI INMATRICULARE A VEHICULELOR,,,,,,,,,,,,,
PARC AUTO LA 31.12.2019,,,,,,,,,,,,,
CATEGORIA DE FOLOSINTA,Numar,Vechime (ani),,,,,,Carburant,,Vechime (ani),,,
,,0--2,3--5,6--10,11--15,16--20,>20,Motorina,Benzina,0--4,5--8,9--12,peste 12
 total marca DENNIS,41,0,0,3,0,0,38,41,0,0,0,3,38
   model JAVELIN,2,0,0,0,0,0,2,2,0,0,0,0,2
   model nespecificat,39,0,0,3,0,0,36,39,0,0,0,3,36
 total marca DENOLF DEPLA,1,0,0,0,0,0,1,1,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,1,0,0,0,0,1
 total marca DROEGMOLLER,37,0,0,0,0,0,37,37,0,0,0,0,37
   model COMET,1,0,0,0,0,0,1,1,0,0,0,0,1
   model EUROCOMET,1,0,0,0,0,0,1,1,0,0,0,0,1
   model nespecificat,35,0,0,0,0,0,35,35,0,0,0,0,35
 total marca DYPETY,36,36,0,0,0,0,0,36,0,36,0,0,0
   model DYPARRO 919T,36,36,0,0,0,0,0,36,0,36,0,0,0
 total marca EL CAR,1,0,0,0,1,0,0,1,0,0,0,0,1
   model nespecificat,1,0,0,0,1,0,0,1,0,0,0,0,1
 total marca EOS,24,0,0,0,0,2,22,24,0,0,0,0,24
   model 90,1,0,0,0,0,0,1,1,0,0,0,0,1
   model COACH,11,0,0,0,0,0,11,11,0,0,0,0,11
   model EOS233,1,0,0,0,0,0,1,1,0,0,0,0,1
   model nespecificat,11,0,0,0,0,2,9,11,0,0,0,0,11
 total marca EURO BUS DIAMOND,55,32,23,0,0,0,0,55,0,46,9,0,0
   model CITY BUS DIAMOND,55,32,23,0,0,0,0,55,0,46,9,0,0
 total marca EUROBUS,2,1,0,0,0,0,1,2,0,1,0,0,1
   model nespecificat,2,1,0,0,0,0,1,2,0,1,0,0,1
 total marca EVOBUS,67,0,0,0,6,22,39,67,0,0,0,0,67
   model AYATS,1,0,0,0,0,0,1,1,0,0,0,0,1
   model CITARO,7,0,0,0,0,7,0,7,0,0,0,0,7
   model CONECTO,1,0,0,0,1,0,0,1,0,0,0,0,1
   model EVOBUS INTERREGIO,1,0,0,0,0,0,1,1,0,0,0,0,1
   model INTEGRO,5,0,0,0,1,1,3,5,0,0,0,0,5
   model O 405 N,2,0,0,0,0,2,0,2,0,0,0,0,2
