MINISTERUL AFACERILOR INTERNE,,,,,,,,TOTAL,,,,,
DIRECTIA REGIM PERMISE DE CONDUCERE SI INMATRICULARE A VEHICULELOR,,,,,,,,,,,,,
PARC AUTO LA 31.12.2019,,,,,,,,,,,,,
CATEGORIA DE FOLOSINTA,Numar,Vechime (ani),,,,,,Carburant,,Vechime (ani),,,
,,0--2,3--5,6--10,11--15,16--20,>20,Motorina,Benzina,0--4,5--8,9--12,peste 12
   model HARMONY,4,0,0,0,4,0,0,4,0,0,0,4,0
   model NOVO,60,22,12,26,0,0,0,60,0,32,22,6,0
   model NOVO LUX,1,0,0,1,0,0,0,1,0,0,0,1,0
   model NOVOBUS,1,0,0,0,1,0,0,1,0,0,0,1,0
   model NOVOCITI,100,8,22,70,0,0,0,100,0,23,77,0,0
   model TURKUAZ,2,0,0,0,2,0,0,2,0,0,0,2,0
   model TURQOISE,1,0,0,0,1,0,0,1,0,0,0,1,0
   model TURQUIOSE,4,0,0,0,3,1,0,4,0,0,0,0,4
   model TURQUISE,2,0,0,0,2,0,0,2,0,0,0,0,2
   model TURQUOISE,195,2,3,45,144,1,0,195,0,3,45,71,76
   model TURQUOISE 27,2,0,0,0,1,1,0,2,0,0,0,0,2
   model TURQUOISE EURO,2,0,0,0,2,0,0,2,0,0,0,2,0
   model VISIGO,5,0,4,1,0,0,0,5,0,3,2,0,0
   model nespecificat,605,0,0,0,508,46,51,605,0,0,0,271,334
 total marca IVECO,1034,15,122,97,251,225,324,1011,0,81,138,87,728
   model -,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 315.8.18,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 370,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 370 S TURBO,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 370SE,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 380.12.3HDTR/53,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 65C15,2,0,0,0,0,2,0,2,0,0,0,0,2
   model 65C17,2,0,0,2,0,0,0,2,0,0,1,1,0
   model 65C17 SYMPA,1,0,0,0,1,0,0,1,0,0,0,0,1
   model 65C18,1,0,0,0,1,0,0,1,0,0,0,0,1
   model 70C17,15,0,8,7,0,0,0,15,0,7,8,0,0
   model 70C18,9,6,3,0,0,0,0,9,0,9,0,0,0
   model A65C15,2,0,0,0,0,2,0,2,0,0,0,0,2
   model A65C15/WING,1,0,0,0,1,0,0,1,0,0,0,0,1
   model A65C17,1,0,0,0,1,0,0,1,0,0,0,0,1
   model A65C18,6,2,0,0,4,0,0,6,0,2,0,1,3
   model APTINEO,2,0,0,0,2,0,0,2,0,0,0,0,2
   model ATLAS,8,0,0,0,0,1,7,8,0,0,0,0,8
   model CASTROSUA,1,0,0,0,0,0,1,1,0,0,0,0,1
   model CC80E18M/P,1,0,0,0,0,0,1,1,0,0,0,0,1
   model CENTURY,10,0,0,0,0,0,10,10,0,0,0,0,10
   model CIBRO DAILY,1,1,0,0,0,0,0,1,0,1,0,0,0
   model CIMO,1,0,0,0,0,1,0,1,0,0,0,0,1
   model CITELIS,3,0,0,0,3,0,0,3,0,0,0,3,0
   model CITY CLASS 12.27,4,0,0,0,0,4,0,4,0,0,0,0,4
   model CORVO S.E,1,0,0,0,0,0,1,1,0,0,0,0,1
   model CROSSWAY,5,0,5,0,0,0,0,5,0,3,2,0,0
   model CROSSWAY LOW ENTRY,23,0,21,2,0,0,0,23,0,21,2,0,0
   model DAILY,227,0,0,20,166,41,0,227,0,0,13,46,168
   model DYPARRO 90T,93,3,54,36,0,0,0,93,0,34,57,2,0
   model ECO-3/95,1,0,0,0,0,0,1,1,0,0,0,0,1
   model ELITE,1,0,0,0,0,0,1,1,0,0,0,0,1
   model EURO CLASS HD,1,0,0,0,0,0,1,1,0,0,0,0,1
   model EURO RIDER 35,4,0,1,0,0,0,3,4,0,1,0,0,3
   model EURO RIDER C31A,1,0,0,0,0,1,0,1,0,0,0,0,1
   model EURO RIDER-35,2,0,0,0,0,0,2,2,0,0,0,0,2
   model EURO-RIDER-35,1,0,0,0,0,0,1,1,0,0,0,0,1
   model EUROBUS,1,0,0,0,1,0,0,1,0,0,0,0,1
   model EUROCLAS,1,0,0,0,0,0,1,1,0,0,0,0,1
   model EUROCLASS,10,0,0,0,0,1,9,10,0,0,0,0,10
   model EUROCLASS HD,6,0,0,0,0,0,6,6,0,0,0,0,6
   model EURORAIDER,4,0,0,0,0,1,3,4,0,0,0,0,4
   model EURORIDER,50,0,0,0,0,22,28,50,0,0,0,0,50
   model EURORIDER 29,7,0,0,0,0,2,5,7,0,0,0,0,7
   model EURORIDER 35,29,0,0,0,0,4,25,29,0,0,0,0,29
   model EURORIDER 38,12,0,0,0,0,12,0,12,0,0,0,0,12
   model EURORIDER 38 TOURING,2,0,0,0,0,2,0,2,0,0,0,0,2
   model EURORIDER C-35,2,0,0,0,1,1,0,2,0,0,0,0,2
   model EURORIDER D-43,4,0,0,0,0,4,0,4,0,0,0,0,4
   model EURORIDER-29,9,0,0,0,0,0,9,9,0,0,0,0,9
   model EURORIDER-29A,1,0,0,0,0,0,1,1,0,0,0,0,1
   model EURORIDER-35,5,0,0,0,0,0,5,5,0,0,0,0,5
   model EURORIDER-35A,1,0,0,0,0,1,0,1,0,0,0,0,1
   model EURORIDER-38,1,0,0,0,0,1,0,1,0,0,0,0,1
   model EURORIDER-38 TOURING,1,0,0,0,0,1,0,1,0,0,0,0,1
   model EURORIDER35,2,0,0,0,0,0,2,2,0,0,0,0,2
   model EUROSTAR,2,0,0,0,0,0,2,2,0,0,0,0,2
   model EUROSTAR E,1,0,0,0,0,0,1,1,0,0,0,0,1
   model EUROSTAR*E,1,0,0,0,0,1,0,1,0,0,0,0,1
   model F30,20,0,20,0,0,0,0,0,0,0,20,0,0
   model FIRST,1,0,0,1,0,0,0,1,0,0,0,1,0
   model FIRST 70C17,2,0,0,2,0,0,0,2,0,0,2,0,0
   model GRIVBUS,1,0,0,1,0,0,0,1,0,0,1,0,0
   model GRIVBUS 70C17,14,0,0,14,0,0,0,14,0,0,14,0,0
   model IRISBUS,31,0,0,0,27,4,0,31,0,0,0,17,14
   model IRISBUS HISPANO 7BA,1,0,0,1,0,0,0,1,0,0,1,0,0
   model IRISBUS MELLOR,1,0,0,0,0,1,0,1,0,0,0,0,1
   model IRIZAR,6,0,0,0,1,2,3,6,0,0,0,0,6
   model KAPENA,3,0,0,0,0,3,0,3,0,0,0,0,3
   model KAPENA THESI,3,0,0,3,0,0,0,3,0,0,3,0,0
   model LF38,3,3,0,0,0,0,0,0,0,3,0,0,0
   model LORRAINE TS11,1,0,0,0,0,0,1,1,0,0,0,0,1
   model MAG02,1,0,0,0,0,1,0,1,0,0,0,0,1
   model MAGO,19,0,0,0,1,6,12,19,0,0,0,1,18
   model MAGO 2,5,0,0,0,1,4,0,5,0,0,0,0,5
   model MAGO 2 CC,1,0,0,0,0,1,0,1,0,0,0,0,1
   model MAGO 59.12,2,0,0,0,0,0,2,2,0,0,0,0,2
   model MAGO CC80,2,0,0,0,0,0,2,2,0,0,0,0,2
   model MAGO.59.12,1,0,0,0,0,0,1,1,0,0,0,0,1
   model MAGO2,1,0,0,0,0,1,0,1,0,0,0,0,1
   model MARCO POLO,6,0,0,0,6,0,0,6,0,0,0,2,4
   model MARCOPOLO SENIOR,1,0,0,0,1,0,0,1,0,0,0,1,0
   model ORLANDI,4,0,0,0,0,0,4,4,0,0,0,0,4
   model ORLANDI DOMINO,1,0,0,0,0,1,0,1,0,0,0,0,1
   model PADANE,1,0,0,0,0,0,1,1,0,0,0,0,1
   model POKER ORLANDI,1,0,0,0,0,0,1,1,0,0,0,0,1
   model PROWAY,1,0,0,0,1,0,0,1,0,0,0,1,0
   model RAPIDO,3,0,0,1,2,0,0,3,0,0,0,3,0
   model SENIOR,7,0,0,0,2,5,0,7,0,0,0,2,5
   model STERGO,1,0,0,0,0,0,1,1,0,0,0,0,1
   model STERGO E,2,0,0,0,0,0,2,2,0,0,0,0,2
   model STERGO'E,3,0,0,0,0,0,3,3,0,0,0,0,3
   model SUNRISE,1,0,0,1,0,0,0,1,0,0,1,0,0
   model SUNSUNDEGUI,2,0,0,0,0,2,0,2,0,0,0,0,2
   model SYMPA,1,0,0,0,0,1,0,1,0,0,0,0,1
   model THESI,1,0,0,0,1,0,0,1,0,0,0,0,1
   model TOURING,36,0,0,0,0,7,29,36,0,0,0,0,36
   model TROUILEET,3,0,0,0,0,0,3,3,0,0,0,0,3
   model TROUILLEET,1,0,0,0,0,0,1,1,0,0,0,0,1
   model TURBO DAILY,4,0,0,0,0,1,3,4,0,0,0,0,4
   model TURBODAILY,1,0,0,0,0,0,1,1,0,0,0,0,1
   model UGARTE,1,0,0,0,0,0,1,1,0,0,0,0,1
   model URBANWAY,10,0,10,0,0,0,0,10,0,0,10,0,0
   model VESUBIO,1,0,0,0,0,0,1,1,0,0,0,0,1
   model WING,4,0,0,0,1,3,0,4,0,0,0,0,4
   model WING MIXTO,1,0,0,0,1,0,0,1,0,0,0,1,0
   model WING2C,1,0,0,0,1,0,0,1,0,0,0,1,0
   model XEITO II,2,0,0,0,0,1,1,2,0,0,0,0,2
   model nespecificat,225,0,0,6,24,76,119,225,0,0,3,4,218
 total marca IVECO - DYPETY,46,27,19,0,0,0,0,46,0,46,0,0,0
   model DYPARRO 90T,46,27,19,0,0,0,0,46,0,46,0,0,0
 total marca IVECO BUS,37,16,21,0,0,0,0,36,0,37,0,0,0
   model CROSSWAY,20,8,12,0,0,0,0,20,0,20,0,0,0
   model CROSSWAY LOW ENTRY,15,6,9,0,0,0,0,15,0,15,0,0,0
   model CROSSWAY LOWENTRY,1,1,0,0,0,0,0,0,0,1,0,0,0
   model EVADYS H,1,1,0,0,0,0,0,1,0,1,0,0,0
 total marca IVECO-FIAT,3,0,0,0,0,0,3,3,0,0,0,0,3
   model ORLANDI DOMINO GTS,1,0,0,0,0,0,1,1,0,0,0,0,1
   model nespecificat,2,0,0,0,0,0,2,2,0,0,0,0,2
 total marca JINLU,2,0,0,0,2,0,0,2,0,0,0,0,2
   model GOLDEN DRAGON,2,0,0,0,2,0,0,2,0,0,0,0,2
 total marca JONCKHEERE,7,0,0,0,0,0,7,7,0,0,0,0,7
   model NEUILLY,1,0,0,0,0,0,1,1,0,0,0,0,1
   model nespecificat,6,0,0,0,0,0,6,6,0,0,0,0,6
 total marca KAESSBOHRER,3,0,0,0,0,0,3,3,0,0,0,0,3
   model nespecificat,3,0,0,0,0,0,3,3,0,0,0,0,3
 total marca KAROSA,103,0,0,0,3,40,60,103,0,0,0,0,103
   model C51034,6,0,0,0,0,2,4,6,0,0,0,0,6
   model KAROSA,1,0,0,0,0,0,1,1,0,0,0,0,1
   model LC 936 XE,1,0,0,0,0,1,0,1,0,0,0,0,1
   model RECREO,2,0,0,0,0,2,0,2,0,0,0,0,2
   model nespecificat,93,0,0,0,3,35,55,93,0,0,0,0,93
 total marca KARSAN,33,6,27,0,0,0,0,33,0,29,4,0,0
   model ATAK,33,6,27,0,0,0,0,33,0,29,4,0,0
 total marca KASSBOHRER,186,0,0,0,0,0,186,186,0,0,0,0,186
   model 215HR,1,0,0,0,0,0,1,1,0,0,0,0,1
   model EVOBUS,1,0,0,0,0,0,1,1,0,0,0,0,1
   model S 213 UL,1,0,0,0,0,0,1,1,0,0,0,0,1
   model S 215 UL,2,0,0,0,0,0,2,2,0,0,0,0,2
   model S213 UL,1,0,0,0,0,0,1,1,0,0,0,0,1
   model S215,1,0,0,0,0,0,1,1,0,0,0,0,1
   model SETRA,14,0,0,0,0,0,14,14,0,0,0,0,14
   model SETRA S213UL,1,0,0,0,0,0,1,1,0,0,0,0,1
   model SETRA S215HR,1,0,0,0,0,0,1,1,0,0,0,0,1
   model SPECIAL,2,0,0,0,0,0,2,2,0,0,0,0,2
   model nespecificat,161,0,0,0,0,0,161,161,0,0,0,0,161
 total marca KASSBOHRER-SETRA,259,0,0,0,0,3,256,259,0,0,0,0,259
   model 215SL,1,0,0,0,0,0,1,1,0,0,0,0,1
   model S 328,1,0,0,0,0,0,1,1,0,0,0,0,1
   model S215,2,0,0,0,0,0,2,2,0,0,0,0,2
   model S315UL,1,0,0,0,0,0,1,1,0,0,0,0,1
   model SETRA,26,0,0,0,0,0,26,26,0,0,0,0,26
   model SPECIAL,1,0,0,0,0,0,1,1,0,0,0,0,1
   model nespecificat,227,0,0,0,0,3,224,227,0,0,0,0,227
 total marca KING LONG,76,0,0,52,24,0,0,76,0,0,40,35,1
   model XMQ6120C,1,0,0,1,0,0,0,1,0,0,1,0,0
   model nespecificat,75,0,0,51,24,0,0,75,0,0,39,35,1
 total marca KRAVTEX,8,0,1,3,4,0,0,8,0,0,3,4,1
   model CREDO IC 12,1,0,0,1,0,0,0,1,0,0,1,0,0
   model CREDO IC12,5,0,0,1,4,0,0,5,0,0,1,3,1
   model CREDO LH12,1,0,0,1,0,0,0,1,0,0,0,1,0
   model OPTINELL 12,1,0,1,0,0,0,0,1,0,0,1,0,0
 total marca LAG,3,0,0,0,0,0,3,3,0,0,0,0,3
   model nespecificat,3,0,0,0,0,0,3,3,0,0,0,0,3
 total marca LEYLAND,5,0,0,0,0,0,5,5,0,0,0,0,5
   model ROUTEMASTER,1,0,0,0,0,0,1,1,0,0,0,0,1
   model nespecificat,4,0,0,0,0,0,4,4,0,0,0,0,4
 total marca LIAZ,13,0,0,0,13,0,0,13,0,0,0,0,13
   model nespecificat,13,0,0,0,13,0,0,13,0,0,0,0,13
 total marca MAGIRUS,21,0,0,0,0,0,21,21,0,0,0,0,21
   model nespecificat,21,0,0,0,0,0,21,21,0,0,0,0,21
 total marca MAN,1652,10,12,25,358,552,695,1641,0,19,14,117,1502
   model 11-220,1,0,0,0,0,1,0,1,0,0,0,0,1
   model 11.220,1,0,0,0,0,1,0,1,0,0,0,0,1
   model 11.220 HOCL,2,0,0,0,0,2,0,2,0,0,0,0,2
   model 11.220 TOURING,2,0,0,0,0,2,0,2,0,0,0,0,2
   model 14.280 H0CL/E3,1,0,0,0,1,0,0,1,0,0,0,0,1
   model 179,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 18.370,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 18.400,1,0,0,0,0,1,0,1,0,0,0,0,1
   model 18.410 RATIO,2,0,0,0,2,0,0,2,0,0,0,0,2
   model 18.440 TITANIUM,1,0,0,0,1,0,0,1,0,0,0,1,0
   model 18.460TOURING,1,0,0,0,0,1,0,1,0,0,0,0,1
   model 18400 HO,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 24.480 TITANIUM,1,0,0,0,1,0,0,1,0,0,0,1,0
   model 402 FRH,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 402FRH LION'S STAR,3,0,0,0,0,0,3,3,0,0,0,0,3
   model 422 FRH,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 422FRH,1,0,0,0,0,0,1,1,0,0,0,0,1
   model A11,1,0,0,0,0,0,1,1,0,0,0,0,1
   model ANDECAR,2,0,0,0,0,2,0,2,0,0,0,0,2
   model ANDECAR 2,1,0,0,0,0,1,0,1,0,0,0,0,1
   model ANDECAR IV,2,0,0,0,0,2,0,2,0,0,0,0,2
   model ANDECAR IV.1,2,0,0,0,1,1,0,2,0,0,0,0,2
   model ATLANTIC,2,0,0,0,0,0,2,2,0,0,0,0,2
   model ATLAS,3,0,0,0,0,1,2,3,0,0,0,0,3
   model AURA,1,0,0,0,1,0,0,1,0,0,0,0,1
   model AXIAL 30,1,0,0,0,0,1,0,1,0,0,0,0,1
   model BERKHOF AXIAL 100,1,0,0,0,0,1,0,1,0,0,0,0,1
   model C,1,0,0,0,0,0,1,1,0,0,0,0,1
   model CAETANO,1,0,0,0,0,0,1,1,0,0,0,0,1
   model CLUBSTAR,1,0,0,0,0,1,0,1,0,0,0,0,1
   model DYPARRO 105U,2,0,0,1,1,0,0,2,0,0,0,2,0
   model DYPARRO 110T,38,0,0,1,37,0,0,38,0,0,0,31,7
   model DYPARRO 90I,1,0,0,0,1,0,0,1,0,0,0,0,1
   model DYPARRO 90T,10,0,0,0,10,0,0,10,0,0,0,0,10
   model DYPARRO 95I,1,0,0,0,1,0,0,1,0,0,0,0,1
   model DYPARRO 95T,12,0,0,0,12,0,0,12,0,0,0,11,1
   model ETNA,1,0,0,0,0,0,1,1,0,0,0,0,1
   model EVO BUS,1,0,0,0,0,1,0,1,0,0,0,0,1
   model FERQUI,1,0,0,0,0,1,0,1,0,0,0,0,1
   model FORTUNA,2,0,0,0,1,1,0,2,0,0,0,0,2
   model FORTUNA MEGA,2,0,0,0,2,0,0,2,0,0,0,0,2
   model FR402,1,0,0,0,0,0,1,1,0,0,0,0,1
   model FR422H,1,0,0,0,0,0,1,1,0,0,0,0,1
   model GIANINO,1,0,0,0,0,0,1,1,0,0,0,0,1
   model HISPANO,1,0,0,0,0,1,0,1,0,0,0,0,1
   model IRIZAR,43,0,0,2,4,24,13,43,0,0,0,3,40
"   model LION ,S CITY",1,0,0,0,0,1,0,1,0,0,0,0,1
   model LION COACH,2,0,0,0,2,0,0,2,0,0,0,0,2
   model LION S CITY T,4,0,0,0,4,0,0,4,0,0,0,0,4
   model LION S COACH,6,0,1,3,1,1,0,6,0,1,2,1,2
   model LION STAR,8,0,0,0,0,5,3,8,0,0,0,0,8
"   model LION""S CLASSIC",1,0,0,0,1,0,0,1,0,0,0,0,1
   model LION'S CITY,12,0,0,0,2,10,0,12,0,0,0,0,12
   model LION'S CITY T,33,0,0,0,33,0,0,33,0,0,0,17,16
   model LION'S CLASSIC,3,0,0,0,2,1,0,3,0,0,0,0,3
   model LION'S COACH,1,1,6,1,60,29,1,1,0,7,1,27,69
   model LION'S COACH C,2,2,0,0,0,0,0,2,0,2,0,0,0
   model LION'S COACH L,6,0,2,4,0,0,0,6,0,1,5,0,0
   model LION'S COAH,1,0,0,1,0,0,0,1,0,0,1,0,0
   model LION'S INTERCITY,4,3,1,0,0,0,0,4,0,4,0,0,0
   model LION'S INTERCITY C,2,2,0,0,0,0,0,2,0,2,0,0,0
   model LION'S REGIO,13,0,2,0,11,0,0,13,0,0,2,6,5
   model LION'S REGIO C,2,0,0,0,2,0,0,2,0,0,0,2,0
   model LION'S STAR,31,0,0,0,7,13,11,31,0,0,0,0,31
   model LION'S TOP COACH,5,0,0,0,2,3,0,5,0,0,0,0,5
"   model LION,S CITY",1,0,0,0,0,1,0,1,0,0,0,0,1
   model LIONIS COACH,1,0,0,0,1,0,0,1,0,0,0,0,1
   model LIONS CITY,1,0,0,0,1,0,0,1,0,0,0,1,0
   model LIONS COACH,7,0,0,0,2,5,0,7,0,0,0,1,6
   model LIONS REGIO,8,0,0,0,8,0,0,8,0,0,0,1,7
   model LIONS STAR,1,0,0,0,0,1,0,1,0,0,0,0,1
   model LIONSTAR,1,0,0,0,0,1,0,1,0,0,0,0,1
   model LIONS'S COACH C,1,1,0,0,0,0,0,1,0,1,0,0,0
   model LION`S COACH,1,0,0,0,1,0,0,1,0,0,0,0,1
   model LION`S REGIO,1,0,0,1,0,0,0,1,0,0,0,1,0
   model LION`S STAR,1,0,0,0,0,1,0,1,0,0,0,0,1
   model LION'S COACH,1,1,6,1,60,29,1,1,0,7,1,27,69
   model MAGO MAN,1,0,0,0,0,1,0,1,0,0,0,0,1
   model MANAS,5,0,0,0,0,4,1,2,0,0,0,0,5
   model MARBUS,1,0,0,0,1,0,0,1,0,0,0,0,1
   model MARCO POLO,1,0,0,0,1,0,0,1,0,0,0,0,1
   model MERKAVIM,3,0,0,0,3,0,0,3,0,0,0,0,3
   model MERKAVIM 3366,1,0,0,0,1,0,0,1,0,0,0,0,1
   model MIDI LIONS COACH,1,1,0,0,0,0,0,1,0,1,0,0,0
   model MIDI STAR,1,0,0,0,0,0,1,1,0,0,0,0,1
   model MIDI STAR'E,1,0,0,0,0,1,0,1,0,0,0,0,1
   model MIDISTAR,1,0,0,0,0,1,0,1,0,0,0,0,1
   model MONACO,1,0,0,0,0,0,1,1,0,0,0,0,1
   model N316SHD,4,0,0,0,0,0,4,4,0,0,0,0,4
   model NG 263,3,0,0,0,0,3,0,3,0,0,0,0,3
   model NG262,1,0,0,0,0,0,1,1,0,0,0,0,1
   model NG263,1,0,0,0,0,1,0,1,0,0,0,0,1
   model NL,1,0,0,0,0,1,0,1,0,0,0,0,1
   model NL202,1,0,0,0,0,0,1,1,0,0,0,0,1
   model NL222,2,0,0,0,0,0,2,2,0,0,0,0,2
   model NL233,1,0,0,0,0,0,1,0,0,0,0,0,1
   model NL263,4,0,0,0,0,1,3,4,0,0,0,0,4
   model NL313,1,0,0,0,0,1,0,1,0,0,0,0,1
   model NOBUS,1,0,0,0,0,1,0,1,0,0,0,0,1
   model NOGE,4,0,0,0,1,3,0,4,0,0,0,0,4
   model NOGE TOURING,3,0,0,0,2,1,0,3,0,0,0,0,3
   model NU313CNG/2T/MX,4,0,0,0,0,4,0,0,0,0,0,0,4
   model NUE 263,1,0,0,0,0,0,1,1,0,0,0,0,1
   model NUE 313 /D28 /15M,1,0,0,0,0,1,0,1,0,0,0,0,1
   model NUE263,1,0,0,0,0,1,0,1,0,0,0,0,1
   model ORDER STACO 537,1,0,0,0,1,0,0,1,0,0,0,1,0
   model OVRIGA,1,0,0,0,0,0,1,1,0,0,0,0,1
   model PRISMA,1,0,0,0,0,0,1,1,0,0,0,0,1
   model Q 313,1,0,0,0,0,0,1,1,0,0,0,0,1
   model R313,2,0,0,0,0,1,1,2,0,0,0,0,2
   model RH413,1,0,0,0,0,1,0,1,0,0,0,0,1
   model RHC 414,1,0,0,0,1,0,0,1,0,0,0,0,1
   model RHC 464,1,0,0,0,0,1,0,1,0,0,0,0,1
   model SG312,1,0,0,0,0,0,1,1,0,0,0,0,1
   model SG313,25,0,0,0,25,0,0,25,0,0,0,0,25
   model SL 223,7,0,0,0,0,7,0,7,0,0,0,0,7
   model SL 283,4,0,0,0,4,0,0,4,0,0,0,0,4
   model SL222,2,0,0,0,0,0,2,2,0,0,0,0,2
   model SL223,2,0,0,0,0,2,0,2,0,0,0,0,2
   model SL283,2,0,0,0,0,2,0,2,0,0,0,0,2
   model STERGO'E,3,0,0,0,0,1,2,3,0,0,0,0,3
   model STERGOE,2,0,0,0,0,2,0,2,0,0,0,0,2
   model STYLUS,2,0,0,0,0,2,0,2,0,0,0,0,2
   model SU220,1,0,0,0,1,0,0,1,0,0,0,0,1
   model SU263,2,0,0,0,0,2,0,2,0,0,0,0,2
   model SU283,1,0,0,0,0,1,0,1,0,0,0,0,1
   model SU313,2,0,0,0,0,2,0,2,0,0,0,0,2
   model TOURING,34,0,0,0,1,17,16,34,0,0,0,1,33
   model UEL310,1,0,0,0,0,0,1,1,0,0,0,0,1
   model UEL363,1,0,0,0,0,1,0,1,0,0,0,0,1
   model UL 272,1,0,0,0,0,0,1,1,0,0,0,0,1
   model UL 312,1,0,0,0,0,0,1,1,0,0,0,0,1
   model UL 313,2,0,0,0,0,1,1,2,0,0,0,0,2
   model UL272,3,0,0,0,0,0,3,3,0,0,0,0,3
   model UL292,1,0,0,0,0,0,1,1,0,0,0,0,1
   model UL353,4,0,0,0,0,1,3,4,0,0,0,0,4
   model VEL 313,1,0,0,0,0,0,1,1,0,0,0,0,1
   model nespecificat,1166,-1,-6,10,40,336,593,1163,0,-7,2,-18,983
 total marca MAN-BUSSING,1,0,0,0,0,0,1,1,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,1,0,0,0,0,1
 total marca MAN-MARBUS,9,0,0,0,4,5,0,9,0,0,0,0,9
   model B3 090 TLL,2,0,0,0,1,1,0,2,0,0,0,0,2
   model TLL/47,1,0,0,0,1,0,0,1,0,0,0,0,1
   model TOVARNA VOZIL,3,0,0,0,0,3,0,3,0,0,0,0,3
   model nespecificat,3,0,0,0,2,1,0,3,0,0,0,0,3
 total marca MAN-TEMSA,1,0,0,0,0,1,0,1,0,0,0,0,1
   model SAFARI,1,0,0,0,0,1,0,1,0,0,0,0,1
 total marca MAN.,1,0,0,0,0,1,0,1,0,0,0,0,1
   model nespecificat,1,0,0,0,0,1,0,1,0,0,0,0,1
 total marca MARBUS,4,0,0,0,2,2,0,4,0,0,0,2,2
   model VIVEO,2,0,0,0,2,0,0,2,0,0,0,2,0
   model nespecificat,2,0,0,0,0,2,0,2,0,0,0,0,2
 total marca MARCOPOLO,4,0,0,0,3,1,0,4,0,0,0,0,4
   model SENIOR,4,0,0,0,3,1,0,4,0,0,0,0,4
 total marca MAZ,367,0,0,0,217,150,0,367,0,0,0,95,272
   model 107468,50,0,0,0,50,0,0,50,0,0,0,50,0
   model 203076,45,0,0,0,45,0,0,45,0,0,0,45,0
   model nespecificat,272,0,0,0,122,150,0,272,0,0,0,0,272
 total marca MECEDES-BENZ,6,0,0,2,0,0,4,6,0,0,2,0,4
   model CITARO,2,0,0,0,0,0,2,2,0,0,0,0,2
   model SPRINTER 516CDI,2,0,0,2,0,0,0,2,0,0,2,0,0
   model nespecificat,2,0,0,0,0,0,2,2,0,0,0,0,2
 total marca MENARINI,11,0,0,0,0,0,11,11,0,0,0,0,11
   model nespecificat,11,0,0,0,0,0,11,11,0,0,0,0,11
 total marca MENARINIBUS,122,122,0,0,0,0,0,122,0,122,0,0,0
   model CITYMOOD,70,70,0,0,0,0,0,70,0,70,0,0,0
   model CITYMOOD 18,52,52,0,0,0,0,0,52,0,52,0,0,0
 total marca MERCEDES BENZ,2481,0,1,25,1513,281,661,2481,0,0,1,679,1801
   model 0 407,3,0,0,0,0,0,3,3,0,0,0,0,3
   model 0405 NU,2,0,0,0,0,0,2,2,0,0,0,0,2
   model 15SHD,1,0,0,0,1,0,0,1,0,0,0,0,1
   model 711 D,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 811,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 814 D,1,0,0,0,0,0,1,1,0,0,0,0,1
   model 818D,1,0,0,0,1,0,0,1,0,0,0,1,0
   model ATEGO 1018,12,0,0,0,12,0,0,12,0,0,0,12,0
   model ATEGO 1018L,1,0,0,0,1,0,0,1,0,0,0,1,0
   model AUTOMET APOLLO,1,0,0,0,1,0,0,1,0,0,0,1,0
   model CIBRO,96,0,0,0,96,0,0,96,0,0,0,31,65
   model CIBRO 813D,51,0,0,22,29,0,0,51,0,0,0,51,0
   model CIBRO 814D,2,0,0,0,2,0,0,2,0,0,0,0,2
   model CITARO,502,0,0,0,500,2,0,502,0,0,0,0,502
   model CLUBSTAR,1,0,0,0,0,0,1,1,0,0,0,0,1
   model CONDAL A/17,1,0,0,0,0,0,1,1,0,0,0,0,1
   model CONECTO,4,0,0,0,3,1,0,4,0,0,0,1,3
   model CONECTO C,2,0,0,0,2,0,0,2,0,0,0,0,2
   model CONECTO M,3,0,0,0,3,0,0,3,0,0,0,0,3
   model CONECTO U,1,0,0,0,1,0,0,1,0,0,0,0,1
   model DYPARR0 75T,1,0,0,0,0,1,0,1,0,0,0,0,1
   model DYPARRO 75T,1,0,0,0,0,1,0,1,0,0,0,0,1
   model EVOBUS,3,0,0,0,1,0,2,3,0,0,0,0,3
   model GRIVBUZ,1,0,0,0,1,0,0,1,0,0,0,0,1
   model INTEGRO,4,0,0,0,0,3,1,4,0,0,0,0,4
   model INTOURO,16,0,0,0,13,3,0,16,0,0,0,1,15
   model IRIZAR,2,0,0,0,2,0,0,2,0,0,0,0,2
   model MEDIO,2,0,0,0,0,2,0,2,0,0,0,0,2
   model O 1829,1,0,0,0,0,0,1,1,0,0,0,0,1
   model O 302,3,0,0,0,0,0,3,3,0,0,0,0,3
   model O 302 OTOMARSAN,1,0,0,0,0,0,1,1,0,0,0,0,1
